calling,called,date,time
861-878-1772,644-097-7772,2017-09-03,13:34:34.681043
604-107-7176,479-518-8841,2017-02-12,16:54:20.626637
894-374-8558,388-647-9826,2017-09-27,08:54:57.013419
995-055-1114,239-262-5534,2017-08-11,09:54:00.621555
472-537-1905,433-599-1726,2017-08-08,09:34:57.785677
585-337-8204,218-810-9957,2017-11-25,23:29:41.248375
239-262-5534,284-762-6101,2017-01-17,13:21:10.314128
315-099-0962,561-817-9890,2017-05-10,17:16:25.198173
737-711-6365,683-712-6411,2017-02-15,14:26:14.181641
252-663-3819,908-589-1859,2017-06-11,00:50:29.527141
252-663-3819,755-837-6504,2017-09-30,02:10:34.055915
458-246-9608,221-827-1070,2017-03-29,10:28:33.638374
472-537-1905,479-518-8841,2017-12-14,09:29:10.163134
683-712-6411,799-183-9806,2017-09-21,16:49:15.783336
118-360-4135,194-751-0726,2017-07-29,01:46:40.659333
186-729-3123,287-287-2300,2017-04-11,04:44:37.511998
473-110-5271,728-062-6327,2017-08-21,07:39:21.592442
186-729-3123,813-488-7105,2017-05-16,07:32:20.936457
473-110-5271,737-711-6365,2017-08-18,07:01:56.144190
315-099-0962,905-408-8460,2017-12-20,18:47:49.066132
589-416-9564,473-110-5271,2017-04-27,19:14:30.149960
239-262-5534,230-006-7468,2017-01-26,15:42:05.573998
472-537-1905,908-589-1859,2017-01-29,15:44:39.057654
932-432-3898,573-488-8760,2017-10-29,11:50:55.108349
361-039-4345,879-692-2301,2017-05-27,07:53:03.735211
861-878-1772,433-599-1726,2017-09-26,06:09:41.251133
441-486-8744,644-097-7772,2017-07-30,10:28:50.959458
995-055-1114,139-381-4068,2017-08-07,21:39:20.921235
361-039-4345,376-226-1704,2017-01-25,07:12:32.826601
252-663-3819,753-124-4994,2017-07-10,00:13:58.932359
239-262-5534,604-107-7176,2017-01-27,09:47:55.628480
644-097-7772,585-337-8204,2017-12-14,09:37:39.896783
186-729-3123,755-837-6504,2017-04-01,23:24:14.369224
316-259-5236,315-099-0962,2017-08-31,22:38:27.062666
905-168-6189,239-262-5534,2017-04-24,00:24:58.783189
644-097-7772,549-323-0194,2017-02-04,03:23:25.242371
363-649-7771,960-664-8315,2017-05-10,08:28:36.400799
861-878-1772,226-031-6566,2017-04-05,00:15:11.980042
573-488-8760,610-263-7288,2017-06-28,06:03:06.869243
433-599-1726,905-168-6189,2017-06-03,07:52:32.289214
363-649-7771,116-475-3164,2017-03-18,22:06:54.900866
116-475-3164,995-055-1114,2017-11-16,01:17:40.365672
472-537-1905,296-845-8815,2017-10-28,18:04:14.609621
186-729-3123,284-762-6101,2017-09-13,19:49:06.437707
361-039-4345,284-762-6101,2017-04-05,06:16:38.017653
221-827-1070,755-837-6504,2017-10-13,16:50:35.996044
186-729-3123,561-817-9890,2017-08-16,01:24:11.511008
186-729-3123,799-488-0562,2017-02-03,12:02:03.456901
737-711-6365,549-323-0194,2017-10-11,16:34:15.826861
644-097-7772,932-432-3898,2017-08-13,02:35:10.496654
186-729-3123,894-374-8558,2017-11-03,16:25:10.122342
905-408-8460,887-628-4270,2017-03-16,10:19:56.635803
403-275-0541,328-866-0427,2017-05-23,07:09:50.054637
861-878-1772,908-589-1859,2017-05-25,19:24:02.194849
819-849-1804,158-576-4578,2017-03-09,14:54:21.367801
479-518-8841,753-124-4994,2017-01-22,12:51:39.222596
733-187-2959,455-854-3710,2017-06-17,04:54:59.002835
472-537-1905,932-432-3898,2017-01-03,10:09:55.473362
573-488-8760,905-408-8460,2017-09-09,09:23:39.125662
118-360-4135,683-712-6411,2017-01-21,00:00:00.109440
603-627-2229,226-031-6566,2017-04-17,13:49:52.539982
473-110-5271,186-729-3123,2017-09-15,18:47:56.809000
508-189-5066,479-518-8841,2017-05-13,12:53:42.347324
472-537-1905,960-664-8315,2017-11-16,20:06:34.171777
433-599-1726,441-486-8744,2017-10-27,20:24:19.219893
813-488-7105,472-537-1905,2017-02-16,01:08:11.115791
683-712-6411,559-713-1835,2017-08-02,22:57:02.747173
441-486-8744,145-788-8928,2017-08-21,03:54:16.389680
585-337-8204,559-713-1835,2017-10-06,16:11:52.504638
226-031-6566,561-817-9890,2017-10-10,11:21:27.262657
894-374-8558,990-633-6553,2017-07-13,19:42:05.544480
458-246-9608,562-069-8665,2017-02-14,09:14:20.506232
675-012-7149,363-649-7771,2017-07-26,05:42:16.122900
879-692-2301,194-751-0726,2017-07-30,17:09:44.908623
898-177-6861,218-810-9957,2017-01-02,13:54:51.201155
819-849-1804,828-812-0718,2017-11-28,14:36:50.039598
116-475-3164,861-878-1772,2017-06-10,09:00:19.920467
549-323-0194,315-099-0962,2017-07-16,16:20:42.853065
683-712-6411,139-381-4068,2017-06-28,21:55:12.559636
441-486-8744,179-506-3473,2017-12-16,21:10:53.983653
252-663-3819,224-307-9607,2017-09-04,10:17:22.441273
441-486-8744,195-526-2361,2017-10-12,01:51:54.913348
986-821-7725,316-259-5236,2017-06-07,03:26:25.149490
960-664-8315,675-012-7149,2017-05-18,22:29:29.655658
603-627-2229,905-168-6189,2017-09-04,21:44:59.587861
894-374-8558,727-551-2106,2017-03-04,10:56:55.868673
441-486-8744,573-488-8760,2017-01-26,12:08:47.890233
186-729-3123,195-526-2361,2017-06-11,04:27:05.923771
315-099-0962,349-674-8673,2017-01-03,10:24:46.400409
932-432-3898,194-751-0726,2017-04-07,13:20:34.297290
221-827-1070,363-649-7771,2017-10-23,17:47:41.367302
508-189-5066,986-821-7725,2017-11-03,14:04:04.238165
879-692-2301,158-576-4578,2017-08-31,03:05:05.124817
473-110-5271,179-506-3473,2017-02-24,16:32:56.339144
908-589-1859,349-674-8673,2017-04-05,09:07:27.752830
589-416-9564,755-837-6504,2017-02-07,15:49:37.365095
508-189-5066,194-751-0726,2017-04-02,21:45:38.513964
960-664-8315,455-854-3710,2017-01-05,06:26:06.457429
898-177-6861,683-712-6411,2017-05-11,16:32:36.480617
239-262-5534,179-506-3473,2017-04-25,09:05:44.506077
898-177-6861,990-633-6553,2017-01-24,12:16:01.063807
316-259-5236,315-508-5665,2017-08-27,09:58:32.358566
905-408-8460,341-119-2595,2017-06-27,06:53:39.449630
813-488-7105,284-762-6101,2017-08-10,21:18:52.250982
370-187-0070,537-537-7090,2017-08-12,13:50:22.519998
986-821-7725,458-246-9608,2017-09-04,06:57:23.920992
403-275-0541,559-713-1835,2017-02-23,07:17:51.463978
879-692-2301,455-854-3710,2017-10-12,05:17:23.328771
932-432-3898,271-788-9365,2017-06-05,19:29:24.035311
585-337-8204,508-189-5066,2017-05-26,19:26:32.761662
861-878-1772,194-751-0726,2017-03-08,03:09:10.190429
932-432-3898,753-124-4994,2017-10-03,05:54:05.912246
316-259-5236,326-348-8171,2017-04-28,23:42:51.049763
226-031-6566,221-827-1070,2017-01-02,05:24:38.941960
100-830-1428,239-262-5534,2017-01-26,09:50:24.951909
932-432-3898,316-259-5236,2017-12-21,02:56:59.835389
361-039-4345,376-608-7518,2017-02-25,05:31:42.601991
995-055-1114,784-882-5256,2017-02-05,00:26:09.052503
479-518-8841,898-177-6861,2017-02-12,15:20:43.969383
403-275-0541,706-073-4548,2017-12-17,13:25:42.127772
221-827-1070,316-259-5236,2017-08-13,19:05:59.907178
370-187-0070,901-672-4727,2017-04-23,10:17:20.449923
585-337-8204,976-174-4409,2017-11-22,04:36:51.184924
986-821-7725,100-830-1428,2017-11-19,01:42:23.183602
898-177-6861,810-044-1619,2017-01-01,15:53:44.640684
458-246-9608,561-817-9890,2017-08-06,02:28:23.261391
315-099-0962,965-814-3291,2017-07-28,01:47:54.969212
370-187-0070,799-488-0562,2017-06-25,21:12:08.558398
100-830-1428,905-408-8460,2017-11-03,20:29:55.186085
315-508-5665,845-198-2046,2017-03-14,01:33:14.688017
403-275-0541,799-488-0562,2017-12-31,21:03:32.225499
986-821-7725,315-099-0962,2017-07-24,06:40:45.437181
861-878-1772,118-360-4135,2017-08-31,05:30:55.988797
458-246-9608,573-488-8760,2017-03-08,02:25:06.194662
675-012-7149,349-674-8673,2017-08-09,06:17:48.041819
932-432-3898,561-817-9890,2017-04-26,13:21:16.941139
573-488-8760,414-128-3556,2017-01-28,16:25:23.785458
473-110-5271,328-866-0427,2017-03-22,15:54:06.681445
960-664-8315,829-644-5392,2017-02-17,05:19:45.445812
316-259-5236,479-518-8841,2017-10-10,15:44:28.977437
932-432-3898,363-649-7771,2017-11-23,07:51:05.340304
905-168-6189,315-099-0962,2017-09-08,18:30:02.764669
433-599-1726,879-692-2301,2017-02-07,23:11:58.697947
819-849-1804,473-110-5271,2017-12-19,23:21:31.969771
508-189-5066,986-821-7725,2017-08-01,10:39:17.156517
675-012-7149,296-845-8815,2017-03-13,21:22:51.273050
549-323-0194,255-827-4711,2017-04-30,16:13:48.168096
370-187-0070,753-124-4994,2017-06-27,20:29:21.105467
226-031-6566,376-226-1704,2017-02-02,15:20:40.126575
813-488-7105,898-177-6861,2017-11-04,20:40:02.074432
562-069-8665,376-226-1704,2017-10-27,17:13:15.933981
604-107-7176,284-762-6101,2017-06-14,22:19:19.098532
549-323-0194,725-626-2996,2017-11-22,22:37:45.758047
585-337-8204,784-882-5256,2017-09-21,02:26:23.671649
675-012-7149,361-039-4345,2017-05-18,22:53:44.706296
226-031-6566,828-812-0718,2017-06-23,06:48:40.113785
644-097-7772,367-042-6173,2017-05-16,12:03:03.915159
458-246-9608,733-187-2959,2017-04-08,15:07:07.248494
441-486-8744,725-626-2996,2017-09-30,23:19:35.117288
116-475-3164,610-263-7288,2017-11-25,00:01:57.657912
118-360-4135,559-713-1835,2017-12-05,01:45:44.314843
573-488-8760,458-246-9608,2017-08-19,13:29:09.561346
186-729-3123,949-372-6727,2017-07-02,07:42:09.276335
960-664-8315,328-866-0427,2017-10-08,19:20:07.203187
441-486-8744,819-849-1804,2017-08-07,23:16:11.127693
799-488-0562,949-372-6727,2017-09-26,01:25:25.734405
186-729-3123,727-551-2106,2017-12-13,03:10:49.586801
479-518-8841,118-360-4135,2017-11-15,04:53:24.990383
221-827-1070,879-692-2301,2017-10-29,09:26:49.532029
737-711-6365,828-812-0718,2017-09-18,12:44:25.331773
472-537-1905,549-323-0194,2017-09-22,08:26:27.730827
221-827-1070,990-633-6553,2017-12-24,01:26:30.777592
603-627-2229,675-012-7149,2017-09-26,18:04:37.057049
603-627-2229,239-262-5534,2017-01-06,11:02:24.507501
604-107-7176,603-627-2229,2017-11-21,13:11:04.588446
861-878-1772,537-537-7090,2017-09-08,14:27:08.227236
458-246-9608,822-885-9453,2017-02-05,16:45:10.914834
879-692-2301,559-713-1835,2017-02-28,22:34:29.564693
644-097-7772,561-817-9890,2017-01-12,19:51:09.867930
683-712-6411,990-633-6553,2017-10-25,12:57:51.555870
370-187-0070,287-287-2300,2017-05-18,12:45:14.998808
589-416-9564,361-039-4345,2017-08-09,21:48:01.563507
683-712-6411,905-168-6189,2017-09-19,19:41:44.851014
370-187-0070,341-119-2595,2017-04-29,23:03:12.355267
472-537-1905,683-712-6411,2017-10-15,17:50:28.084741
100-830-1428,901-672-4727,2017-06-27,22:55:41.599953
810-044-1619,315-508-5665,2017-01-02,04:20:13.078323
995-055-1114,905-408-8460,2017-07-10,23:41:37.193072
810-044-1619,116-475-3164,2017-09-28,04:03:53.119779
508-189-5066,179-506-3473,2017-01-15,05:20:28.042095
472-537-1905,755-837-6504,2017-06-17,12:09:52.819586
508-189-5066,610-263-7288,2017-11-29,16:51:55.992813
644-097-7772,458-246-9608,2017-09-20,07:18:52.163029
315-099-0962,887-628-4270,2017-04-10,11:01:24.431642
733-187-2959,388-647-9826,2017-11-26,11:51:51.651216
370-187-0070,472-537-1905,2017-03-24,03:32:25.029970
644-097-7772,349-674-8673,2017-01-24,07:52:41.576375
363-649-7771,271-788-9365,2017-06-23,20:10:10.842998
549-323-0194,221-827-1070,2017-11-20,04:39:18.236357
905-408-8460,287-287-2300,2017-06-18,01:39:03.375058
737-711-6365,894-374-8558,2017-12-11,11:19:48.195230
589-416-9564,230-006-7468,2017-03-16,22:08:16.764604
604-107-7176,562-069-8665,2017-01-09,17:45:12.827371
813-488-7105,376-608-7518,2017-06-28,17:20:53.690041
186-729-3123,239-262-5534,2017-06-08,14:38:53.715062
315-099-0962,367-042-6173,2017-05-28,22:25:41.758875
683-712-6411,376-226-1704,2017-06-16,18:15:12.560583
603-627-2229,813-488-7105,2017-07-02,20:33:40.499028
226-031-6566,508-189-5066,2017-07-18,20:17:29.165324
905-168-6189,226-031-6566,2017-01-12,18:16:00.643840
458-246-9608,433-599-1726,2017-01-29,22:40:45.698605
819-849-1804,986-821-7725,2017-07-18,16:58:02.859405
549-323-0194,315-508-5665,2017-06-23,01:50:38.852427
226-031-6566,879-692-2301,2017-03-14,06:59:45.732890
603-627-2229,894-374-8558,2017-06-12,05:35:17.760369
737-711-6365,473-110-5271,2017-10-04,06:26:24.983873
589-416-9564,861-878-1772,2017-08-06,14:24:12.362510
861-878-1772,960-664-8315,2017-12-07,08:41:39.054717
879-692-2301,990-633-6553,2017-06-09,01:39:25.304544
737-711-6365,585-337-8204,2017-07-01,20:20:31.643846
733-187-2959,549-323-0194,2017-07-09,21:39:45.145954
549-323-0194,370-187-0070,2017-08-06,17:38:55.009500
894-374-8558,610-263-7288,2017-10-07,04:28:48.874277
100-830-1428,976-174-4409,2017-03-08,16:49:02.679108
361-039-4345,537-537-7090,2017-10-21,02:28:04.996241
932-432-3898,139-381-4068,2017-07-06,19:17:57.158294
861-878-1772,328-866-0427,2017-05-17,09:42:01.623592
737-711-6365,194-751-0726,2017-11-21,17:33:02.182816
603-627-2229,433-599-1726,2017-08-22,04:27:29.145498
644-097-7772,367-042-6173,2017-10-05,15:10:38.786168
441-486-8744,100-830-1428,2017-01-16,06:25:07.161322
403-275-0541,728-062-6327,2017-12-05,21:54:27.442246
905-168-6189,145-788-8928,2017-03-19,05:27:17.429199
604-107-7176,908-589-1859,2017-04-29,08:09:28.304930
315-099-0962,315-508-5665,2017-03-13,02:24:34.991738
508-189-5066,728-062-6327,2017-06-21,02:01:45.174891
589-416-9564,508-189-5066,2017-04-03,21:09:27.977126
986-821-7725,644-097-7772,2017-08-21,09:54:56.367987
879-692-2301,965-814-3291,2017-11-27,09:25:35.831693
226-031-6566,799-488-0562,2017-11-19,19:26:36.582773
221-827-1070,473-110-5271,2017-08-04,05:02:35.935564
363-649-7771,224-307-9607,2017-12-21,23:09:35.628070
403-275-0541,727-551-2106,2017-01-10,09:05:21.539563
370-187-0070,932-432-3898,2017-05-30,05:54:17.805747
573-488-8760,559-713-1835,2017-12-23,09:16:03.375814
573-488-8760,784-882-5256,2017-11-27,14:53:16.008913
960-664-8315,905-168-6189,2017-04-11,16:28:50.348488
433-599-1726,118-360-4135,2017-08-22,21:03:13.322508
100-830-1428,158-576-4578,2017-05-15,17:16:25.075390
986-821-7725,441-486-8744,2017-08-01,06:55:15.192366
894-374-8558,706-073-4548,2017-07-08,23:31:32.668493
905-168-6189,861-878-1772,2017-09-04,08:30:05.799905
363-649-7771,508-189-5066,2017-01-05,16:39:30.339119
315-508-5665,235-176-4381,2017-03-07,09:54:38.220172
479-518-8841,829-644-5392,2017-12-12,08:48:46.069235
508-189-5066,901-672-4727,2017-03-08,21:18:01.191319
239-262-5534,561-817-9890,2017-07-12,07:11:50.885137
813-488-7105,965-814-3291,2017-12-21,05:43:36.052985
879-692-2301,932-432-3898,2017-11-23,02:25:52.743310
116-475-3164,733-187-2959,2017-02-05,16:18:27.981951
894-374-8558,158-576-4578,2017-02-05,08:53:51.200073
819-849-1804,403-275-0541,2017-09-07,05:27:06.812410
116-475-3164,683-712-6411,2017-12-15,22:43:02.771216
861-878-1772,284-762-6101,2017-11-28,10:21:48.631847
733-187-2959,905-168-6189,2017-11-22,20:09:59.708959
562-069-8665,879-692-2301,2017-10-13,17:50:32.658827
239-262-5534,296-845-8815,2017-10-22,04:19:56.851140
675-012-7149,441-486-8744,2017-06-03,12:38:13.340695
370-187-0070,239-262-5534,2017-01-08,05:23:34.305901
472-537-1905,648-457-8297,2017-11-10,01:14:44.929539
683-712-6411,828-812-0718,2017-09-12,01:27:21.984901
252-663-3819,271-788-9365,2017-03-03,12:31:51.440599
905-168-6189,370-187-0070,2017-03-08,13:03:53.380733
562-069-8665,949-372-6727,2017-09-10,15:58:48.038081
361-039-4345,252-663-3819,2017-03-16,06:17:47.082435
733-187-2959,901-672-4727,2017-10-08,06:54:09.126182
315-508-5665,753-124-4994,2017-06-15,17:20:22.884300
894-374-8558,139-381-4068,2017-06-21,11:33:02.718100
100-830-1428,728-062-6327,2017-04-14,03:21:37.672170
604-107-7176,224-307-9607,2017-02-13,19:00:01.657441
562-069-8665,367-042-6173,2017-02-19,20:12:42.581699
316-259-5236,218-810-9957,2017-09-08,10:02:12.134168
733-187-2959,990-633-6553,2017-03-02,23:37:00.416102
604-107-7176,585-337-8204,2017-05-14,10:20:04.150399
221-827-1070,610-263-7288,2017-02-11,23:47:17.178413
604-107-7176,508-189-5066,2017-06-18,09:57:39.929194
562-069-8665,186-729-3123,2017-11-16,01:37:02.811757
648-457-8297,224-307-9607,2017-12-29,23:03:09.366724
403-275-0541,388-647-9826,2017-01-28,00:39:26.088691
549-323-0194,284-762-6101,2017-02-06,08:37:33.169959
433-599-1726,376-226-1704,2017-10-28,12:51:46.607952
252-663-3819,799-488-0562,2017-04-28,06:58:44.840672
683-712-6411,226-031-6566,2017-03-22,20:17:30.939808
905-408-8460,363-649-7771,2017-11-29,16:43:25.500931
932-432-3898,733-187-2959,2017-01-29,00:47:17.791255
562-069-8665,315-099-0962,2017-09-28,07:13:28.648195
433-599-1726,455-854-3710,2017-06-29,18:19:22.941281
879-692-2301,644-097-7772,2017-10-13,17:59:12.482544
908-589-1859,861-878-1772,2017-05-09,06:30:46.019556
819-849-1804,224-307-9607,2017-02-06,19:22:04.876993
589-416-9564,255-827-4711,2017-03-01,07:06:45.411738
733-187-2959,675-012-7149,2017-04-16,23:45:46.441901
813-488-7105,508-189-5066,2017-06-22,02:03:26.848170
433-599-1726,388-647-9826,2017-05-16,10:10:39.011381
683-712-6411,819-849-1804,2017-11-09,09:44:40.791211
473-110-5271,810-044-1619,2017-11-06,23:23:20.508503
433-599-1726,145-788-8928,2017-08-08,01:17:08.629165
648-457-8297,158-576-4578,2017-04-22,20:53:41.625078
894-374-8558,158-576-4578,2017-09-26,22:43:51.037838
118-360-4135,608-079-4930,2017-11-18,10:21:28.329376
898-177-6861,990-633-6553,2017-11-17,05:36:20.730094
315-099-0962,976-174-4409,2017-01-25,16:29:38.402435
589-416-9564,549-323-0194,2017-04-20,14:08:34.774367
252-663-3819,819-849-1804,2017-11-05,00:04:51.523848
458-246-9608,589-416-9564,2017-11-12,14:08:21.272758
315-508-5665,218-810-9957,2017-05-15,22:03:32.576107
861-878-1772,898-177-6861,2017-01-12,23:22:14.756886
675-012-7149,310-498-2762,2017-06-13,18:20:04.336416
905-168-6189,388-647-9826,2017-08-30,21:50:50.712657
479-518-8841,441-486-8744,2017-09-23,23:33:59.273915
226-031-6566,472-537-1905,2017-08-03,17:40:05.811814
116-475-3164,341-119-2595,2017-09-09,02:19:04.930022
898-177-6861,441-486-8744,2017-03-10,22:34:06.835062
403-275-0541,287-287-2300,2017-06-05,07:00:09.964368
908-589-1859,887-628-4270,2017-05-11,16:59:15.337655
226-031-6566,810-044-1619,2017-04-18,00:05:58.261795
100-830-1428,861-878-1772,2017-11-15,11:18:30.819875
589-416-9564,316-259-5236,2017-01-10,15:22:09.726211
479-518-8841,733-187-2959,2017-04-04,20:08:16.238898
810-044-1619,610-263-7288,2017-03-20,07:09:23.249252
226-031-6566,675-012-7149,2017-12-18,23:23:48.137859
316-259-5236,186-729-3123,2017-11-25,14:44:42.509419
403-275-0541,316-259-5236,2017-10-05,22:26:35.106617
118-360-4135,414-128-3556,2017-01-04,10:50:59.192406
648-457-8297,733-187-2959,2017-11-15,17:45:24.250559
603-627-2229,376-226-1704,2017-01-19,05:32:34.302383
479-518-8841,706-073-4548,2017-08-01,19:41:38.909622
508-189-5066,194-751-0726,2017-07-29,05:53:27.225715
932-432-3898,367-042-6173,2017-12-21,10:54:30.788225
737-711-6365,995-055-1114,2017-10-26,17:55:12.661234
370-187-0070,822-885-9453,2017-09-15,01:27:05.012348
683-712-6411,224-307-9607,2017-05-05,02:50:08.527249
472-537-1905,473-110-5271,2017-10-19,16:20:46.228057
603-627-2229,549-323-0194,2017-02-25,17:08:00.738306
737-711-6365,845-198-2046,2017-04-27,01:25:48.032374
603-627-2229,562-069-8665,2017-05-08,10:56:08.310411
441-486-8744,585-337-8204,2017-01-13,08:19:41.763014
960-664-8315,235-176-4381,2017-11-11,02:28:26.848562
116-475-3164,479-518-8841,2017-04-26,20:39:31.204846
810-044-1619,603-627-2229,2017-05-09,09:30:33.019868
648-457-8297,508-189-5066,2017-07-11,07:47:47.527912
683-712-6411,433-599-1726,2017-01-25,19:14:28.524059
733-187-2959,139-381-4068,2017-12-17,20:09:50.947910
403-275-0541,363-649-7771,2017-09-13,17:02:04.065044
905-408-8460,224-307-9607,2017-04-22,01:17:59.482746
458-246-9608,799-488-0562,2017-02-21,03:53:52.556507
644-097-7772,589-416-9564,2017-07-22,17:26:19.160581
472-537-1905,116-475-3164,2017-09-06,02:53:55.667081
458-246-9608,932-432-3898,2017-02-28,23:38:36.313324
116-475-3164,861-878-1772,2017-10-14,03:07:41.208874
986-821-7725,226-031-6566,2017-08-05,19:27:38.075732
363-649-7771,433-599-1726,2017-09-12,08:28:42.361036
316-259-5236,479-518-8841,2017-07-06,12:59:14.260773
879-692-2301,221-827-1070,2017-11-16,19:15:09.387017
573-488-8760,737-711-6365,2017-09-23,05:47:38.941417
737-711-6365,326-348-8171,2017-08-13,15:35:57.593337
879-692-2301,441-486-8744,2017-01-12,02:51:34.286095
879-692-2301,908-589-1859,2017-03-13,04:14:20.488619
932-432-3898,995-055-1114,2017-03-08,01:18:39.668626
441-486-8744,473-110-5271,2017-10-03,01:30:52.205077
116-475-3164,230-006-7468,2017-02-26,14:33:54.781379
252-663-3819,608-079-4930,2017-03-25,23:53:23.136732
813-488-7105,753-124-4994,2017-04-04,14:32:02.349369
118-360-4135,349-674-8673,2017-09-25,00:35:39.426864
995-055-1114,441-486-8744,2017-03-03,03:21:15.055201
458-246-9608,683-712-6411,2017-03-05,12:43:55.857527
819-849-1804,473-110-5271,2017-11-03,17:14:01.162836
799-488-0562,479-518-8841,2017-10-23,01:55:51.459164
810-044-1619,271-788-9365,2017-10-18,02:36:00.684694
819-849-1804,559-713-1835,2017-08-08,21:04:14.148568
648-457-8297,549-323-0194,2017-08-24,22:28:24.385251
221-827-1070,728-062-6327,2017-05-18,07:53:07.599519
441-486-8744,648-457-8297,2017-02-25,13:53:11.301037
585-337-8204,905-408-8460,2017-07-27,00:19:55.026103
813-488-7105,706-073-4548,2017-09-10,22:37:46.597805
675-012-7149,194-751-0726,2017-08-06,21:16:55.762982
441-486-8744,753-124-4994,2017-08-29,02:34:08.200428
508-189-5066,784-882-5256,2017-09-24,17:28:56.299125
675-012-7149,905-168-6189,2017-04-10,21:11:47.083757
363-649-7771,879-692-2301,2017-12-29,01:30:32.499654
908-589-1859,100-830-1428,2017-11-29,16:09:26.314619
675-012-7149,753-124-4994,2017-01-28,18:41:54.510905
908-589-1859,116-475-3164,2017-07-02,18:53:03.438551
221-827-1070,296-845-8815,2017-10-31,10:11:57.125988
100-830-1428,221-827-1070,2017-03-27,21:19:59.439936
960-664-8315,828-812-0718,2017-08-29,22:46:50.050545
861-878-1772,905-408-8460,2017-07-07,17:17:18.687139
604-107-7176,328-866-0427,2017-02-07,02:15:14.453138
370-187-0070,195-526-2361,2017-12-10,08:37:30.139076
960-664-8315,315-099-0962,2017-10-22,10:28:14.940899
810-044-1619,145-788-8928,2017-01-17,05:35:41.925059
118-360-4135,901-672-4727,2017-10-05,17:31:40.774401
403-275-0541,316-259-5236,2017-10-03,07:03:51.297840
118-360-4135,737-711-6365,2017-04-01,21:33:00.938139
905-408-8460,822-885-9453,2017-10-03,11:54:37.641861
799-488-0562,195-526-2361,2017-10-06,07:41:32.364189
573-488-8760,376-608-7518,2017-04-15,19:50:14.096250
562-069-8665,226-031-6566,2017-06-15,10:51:16.777426
908-589-1859,226-031-6566,2017-09-22,17:40:58.429394
861-878-1772,441-486-8744,2017-11-25,03:41:02.221706
562-069-8665,604-107-7176,2017-09-14,08:21:09.227620
441-486-8744,549-323-0194,2017-01-27,19:18:17.209471
905-408-8460,589-416-9564,2017-04-16,09:43:41.764567
861-878-1772,376-608-7518,2017-06-01,14:15:21.020404
861-878-1772,361-039-4345,2017-09-28,18:33:27.652676
316-259-5236,403-275-0541,2017-06-02,09:38:58.408388
433-599-1726,403-275-0541,2017-07-12,18:20:53.009774
799-488-0562,949-372-6727,2017-11-06,21:37:42.851722
361-039-4345,326-348-8171,2017-09-24,22:30:45.565410
861-878-1772,604-107-7176,2017-03-17,23:23:43.091134
239-262-5534,376-608-7518,2017-04-23,14:59:46.301076
813-488-7105,287-287-2300,2017-11-09,03:44:06.032889
479-518-8841,608-079-4930,2017-06-13,06:31:06.084979
675-012-7149,179-506-3473,2017-10-04,10:54:18.312290
361-039-4345,271-788-9365,2017-06-25,06:04:27.811099
433-599-1726,898-177-6861,2017-02-12,15:03:23.888162
315-508-5665,235-176-4381,2017-09-08,17:30:47.498436
648-457-8297,965-814-3291,2017-05-03,02:13:41.886601
549-323-0194,224-307-9607,2017-10-10,21:57:18.802152
585-337-8204,370-187-0070,2017-06-11,15:21:33.726398
562-069-8665,603-627-2229,2017-05-04,07:45:45.942286
226-031-6566,610-263-7288,2017-11-21,10:31:55.402764
315-508-5665,479-518-8841,2017-07-09,05:21:23.845523
186-729-3123,388-647-9826,2017-02-25,15:05:43.488939
186-729-3123,252-663-3819,2017-08-17,00:24:10.807312
441-486-8744,573-488-8760,2017-12-31,11:34:36.441392
905-168-6189,376-608-7518,2017-10-17,04:10:31.250425
316-259-5236,810-044-1619,2017-02-26,07:34:15.936605
508-189-5066,549-323-0194,2017-09-12,19:37:55.783743
221-827-1070,733-187-2959,2017-12-19,20:12:29.084737
116-475-3164,186-729-3123,2017-07-11,14:09:16.682217
810-044-1619,179-506-3473,2017-10-30,20:11:45.019201
458-246-9608,861-878-1772,2017-10-05,05:48:09.368954
737-711-6365,949-372-6727,2017-08-04,18:59:38.689447
648-457-8297,932-432-3898,2017-06-16,00:55:17.023371
810-044-1619,315-099-0962,2017-03-30,17:53:35.706886
894-374-8558,235-176-4381,2017-12-28,00:21:05.479924
603-627-2229,608-079-4930,2017-03-05,21:46:06.313413
905-408-8460,158-576-4578,2017-08-27,20:08:17.296720
995-055-1114,116-475-3164,2017-03-03,00:32:45.001892
473-110-5271,908-589-1859,2017-09-19,16:52:55.335959
479-518-8841,755-837-6504,2017-05-09,11:18:32.009371
573-488-8760,725-626-2996,2017-07-12,15:03:35.503788
861-878-1772,644-097-7772,2017-03-15,14:03:44.417430
433-599-1726,296-845-8815,2017-01-01,06:24:13.937128
995-055-1114,727-551-2106,2017-07-14,00:27:15.952238
363-649-7771,784-882-5256,2017-09-20,08:47:44.683988
813-488-7105,733-187-2959,2017-03-13,01:23:14.126949
819-849-1804,230-006-7468,2017-07-17,19:21:44.741274
508-189-5066,296-845-8815,2017-06-10,18:32:18.921926
799-488-0562,822-885-9453,2017-03-27,19:42:51.760775
861-878-1772,561-817-9890,2017-12-19,04:30:01.764818
908-589-1859,608-079-4930,2017-02-17,02:23:05.250863
799-488-0562,905-168-6189,2017-11-05,03:06:07.681486
473-110-5271,737-711-6365,2017-01-17,09:10:30.883480
908-589-1859,610-263-7288,2017-04-12,02:14:07.610010
